x y e
50.3146 1.4359 0.2844
50.9438 1.4359 0.3054
51.5730 1.4359 0.3408
52.2022 1.4359 0.3851
52.8315 1.4359 0.4332
53.4607 1.4359 0.4815
54.0899 1.4359 0.5280
54.7191 1.4359 0.5714
55.3483 1.4359 0.6115
55.9775 1.4359 0.6478
56.6067 1.4359 0.6806
57.2360 1.4359 0.7099
57.8652 1.4359 0.7360
58.4944 1.4359 0.7592
59.1236 1.4359 0.7798
59.7528 1.4359 0.7983
60.3820 1.4359 0.8151
61.0112 1.4359 0.8305
61.6404 1.4359 0.8447
62.2697 1.4359 0.8579
62.8989 1.4359 0.8702
63.5281 1.4359 0.8815
64.1573 1.4359 0.8916
64.7865 1.4359 0.9004
65.4157 1.4359 0.9075
66.0449 1.4359 0.9125
66.6742 1.4359 0.9148
67.3034 1.4359 0.9135
67.9326 1.4359 0.9079
68.5618 1.4359 0.8969
69.1910 1.4359 0.8797
69.8202 1.4359 0.8556
70.4494 1.4359 0.8240
71.0787 1.4359 0.7847
71.7079 1.4359 0.7379
72.3371 1.4359 0.6845
72.9663 1.4359 0.6256
73.5955 1.4359 0.5627
74.2247 1.4359 0.4975
74.8539 1.4359 0.4319
75.4831 1.4359 0.3672
76.1124 1.4359 0.3047
76.7416 1.4359 0.2451
77.3708 1.4359 0.1892
78.0000 1.4359 0.1371

22.0000 1.6410 0.1358
22.6292 1.6410 0.1902
23.2584 1.6410 0.2504
23.8876 1.6410 0.3158
24.5169 1.6410 0.3853
25.1461 1.6410 0.4573
25.7753 1.6410 0.5297
26.4045 1.6410 0.6004
27.0337 1.6410 0.6672
27.6629 1.6410 0.7284
28.2921 1.6410 0.7825
28.9213 1.6410 0.8290
29.5506 1.6410 0.8675
30.1798 1.6410 0.8983
30.8090 1.6410 0.9219
31.4382 1.6410 0.9388
32.0674 1.6410 0.9497
32.6966 1.6410 0.9550
33.3258 1.6410 0.9553
33.9551 1.6410 0.9510
34.5843 1.6410 0.9426
35.2135 1.6410 0.9306
35.8427 1.6410 0.9156
36.4719 1.6410 0.8985
37.1011 1.6410 0.8800
37.7303 1.6410 0.8607
38.3596 1.6410 0.8410
38.9888 1.6410 0.8211
39.6180 1.6410 0.8011
40.2472 1.6410 0.7807
40.8764 1.6410 0.7595
41.5056 1.6410 0.7371
42.1348 1.6410 0.7131
42.7640 1.6410 0.6867
43.3933 1.6410 0.6576
44.0225 1.6410 0.6252
44.6517 1.6410 0.5892
45.2809 1.6410 0.5495
45.9101 1.6410 0.5060
46.5393 1.6410 0.4594
47.1685 1.6410 0.4110
47.7978 1.6410 0.3634
48.4270 1.6410 0.3207
49.0562 1.6410 0.2881
49.6854 1.6410 0.2713
50.3146 1.6410 0.2737
50.9438 1.6410 0.2946
51.5730 1.6410 0.3300
52.2022 1.6410 0.3742
52.8315 1.6410 0.4222
53.4607 1.6410 0.4704
54.0899 1.6410 0.5169
54.7191 1.6410 0.5604
55.3483 1.6410 0.6005
55.9775 1.6410 0.6370
56.6067 1.6410 0.6699
57.2360 1.6410 0.6993
57.8652 1.6410 0.7255
58.4944 1.6410 0.7487
59.1236 1.6410 0.7694
59.7528 1.6410 0.7879
60.3820 1.6410 0.8047
61.0112 1.6410 0.8201
61.6404 1.6410 0.8343
62.2697 1.6410 0.8476
62.8989 1.6410 0.8599
63.5281 1.6410 0.8713
64.1573 1.6410 0.8816
64.7865 1.6410 0.8906
65.4157 1.6410 0.8980
66.0449 1.6410 0.9033
66.6742 1.6410 0.9059
67.3034 1.6410 0.9051
67.9326 1.6410 0.8999
68.5618 1.6410 0.8895
69.1910 1.6410 0.8728
69.8202 1.6410 0.8492
70.4494 1.6410 0.8181
71.0787 1.6410 0.7793
71.7079 1.6410 0.7331
72.3371 1.6410 0.6802
72.9663 1.6410 0.6217
73.5955 1.6410 0.5594
74.2247 1.6410 0.4947
74.8539 1.6410 0.4296
75.4831 1.6410 0.3655
76.1124 1.6410 0.3036
76.7416 1.6410 0.2448
77.3708 1.6410 0.1896
78.0000 1.6410 0.1383

22.0000 1.8462 0.1376
22.6292 1.8462 0.1909
23.2584 1.8462 0.2501
23.8876 1.8462 0.3145
24.5169 1.8462 0.3831
25.1461 1.8462 0.4543
25.7753 1.8462 0.5261
26.4045 1.8462 0.5963
27.0337 1.8462 0.6628
27.6629 1.8462 0.7236
28.2921 1.8462 0.7776
28.9213 1.8462 0.8238
29.5506 1.8462 0.8621
30.1798 1.8462 0.8927
30.8090 1.8462 0.9161
31.4382 1.8462 0.9327
32.0674 1.8462 0.9432
32.6966 1.8462 0.9481
33.3258 1.8462 0.9479
33.9551 1.8462 0.9431
34.5843 1.8462 0.9340
35.2135 1.8462 0.9214
35.8427 1.8462 0.9059
36.4719 1.8462 0.8882
37.1011 1.8462 0.8692
37.7303 1.8462 0.8495
38.3596 1.8462 0.8294
38.9888 1.8462 0.8093
39.6180 1.8462 0.7891
40.2472 1.8462 0.7686
40.8764 1.8462 0.7473
41.5056 1.8462 0.7249
42.1348 1.8462 0.7008
42.7640 1.8462 0.6744
43.3933 1.8462 0.6452
44.0225 1.8462 0.6128
44.6517 1.8462 0.5769
45.2809 1.8462 0.5372
45.9101 1.8462 0.4938
46.5393 1.8462 0.4473
47.1685 1.8462 0.3991
47.7978 1.8462 0.3516
48.4270 1.8462 0.3090
49.0562 1.8462 0.2766
49.6854 1.8462 0.2599
50.3146 1.8462 0.2623
50.9438 1.8462 0.2832
51.5730 1.8462 0.3184
52.2022 1.8462 0.3625
52.8315 1.8462 0.4105
53.4607 1.8462 0.4587
54.0899 1.8462 0.5051
54.7191 1.8462 0.5487
55.3483 1.8462 0.5888
55.9775 1.8462 0.6254
56.6067 1.8462 0.6584
57.2360 1.8462 0.6880
57.8652 1.8462 0.7143
58.4944 1.8462 0.7376
59.1236 1.8462 0.7583
59.7528 1.8462 0.7769
60.3820 1.8462 0.7937
61.0112 1.8462 0.8091
61.6404 1.8462 0.8233
62.2697 1.8462 0.8366
62.8989 1.8462 0.8490
63.5281 1.8462 0.8605
64.1573 1.8462 0.8709
64.7865 1.8462 0.8801
65.4157 1.8462 0.8878
66.0449 1.8462 0.8935
66.6742 1.8462 0.8966
67.3034 1.8462 0.8962
67.9326 1.8462 0.8915
68.5618 1.8462 0.8816
69.1910 1.8462 0.8655
69.8202 1.8462 0.8424
70.4494 1.8462 0.8119
71.0787 1.8462 0.7736
71.7079 1.8462 0.7280
72.3371 1.8462 0.6756
72.9663 1.8462 0.6177
73.5955 1.8462 0.5558
74.2247 1.8462 0.4918
74.8539 1.8462 0.4272
75.4831 1.8462 0.3637
76.1124 1.8462 0.3025
76.7416 1.8462 0.2444
77.3708 1.8462 0.1899
78.0000 1.8462 0.1395

22.0000 2.0513 0.1394
22.6292 2.0513 0.1917
23.2584 2.0513 0.2497
23.8876 2.0513 0.3131
24.5169 2.0513 0.3808
25.1461 2.0513 0.4511
25.7753 2.0513 0.5223
26.4045 2.0513 0.5920
27.0337 2.0513 0.6580
27.6629 2.0513 0.7186
28.2921 2.0513 0.7723
