x y e
64.6517 25.6364 0.4805
65.3933 25.6364 0.4785
66.1348 25.6364 0.4751
66.8764 25.6364 0.4694
67.6180 25.6364 0.4603
68.3596 25.6364 0.4468
69.1011 25.6364 0.4277
69.8427 25.6364 0.4020
70.5843 25.6364 0.3689
71.3258 25.6364 0.3276
72.0674 25.6364 0.2777
72.8090 25.6364 0.2190
73.5506 25.6364 0.1515
74.2921 25.6364 0.0758
75.0337 25.6364 0.0000
75.7753 25.6364 0.0000
76.5169 25.6364 0.0000
77.2584 25.6364 0.0000
78.0000 25.6364 0.0000

12.0000 26.3636 0.0000
12.7416 26.3636 0.0000
13.4831 26.3636 0.0000
14.2247 26.3636 0.0000
14.9663 26.3636 0.0126
15.7079 26.3636 0.0848
16.4494 26.3636 0.1528
17.1910 26.3636 0.2162
17.9326 26.3636 0.2744
18.6742 26.3636 0.3271
19.4157 26.3636 0.3738
20.1573 26.3636 0.4144
20.8989 26.3636 0.4487
21.6404 26.3636 0.4768
22.3820 26.3636 0.4991
23.1236 26.3636 0.5161
23.8652 26.3636 0.5285
24.6067 26.3636 0.5370
25.3483 26.3636 0.5427
26.0899 26.3636 0.5461
26.8315 26.3636 0.5482
27.5730 26.3636 0.5494
28.3146 26.3636 0.5504
29.0562 26.3636 0.5514
29.7978 26.3636 0.5527
30.5393 26.3636 0.5544
31.2809 26.3636 0.5567
32.0225 26.3636 0.5595
32.7640 26.3636 0.5629
33.5056 26.3636 0.5670
34.2472 26.3636 0.5718
34.9888 26.3636 0.5776
35.7303 26.3636 0.5844
36.4719 26.3636 0.5925
37.2135 26.3636 0.6020
37.9551 26.3636 0.6127
38.6966 26.3636 0.6245
39.4382 26.3636 0.6369
40.1798 26.3636 0.6495
40.9213 26.3636 0.6616
41.6629 26.3636 0.6725
42.4045 26.3636 0.6816
43.1461 26.3636 0.6883
43.8876 26.3636 0.6923
44.6292 26.3636 0.6932
45.3708 26.3636 0.6912
46.1124 26.3636 0.6862
46.8539 26.3636 0.6785
47.5955 26.3636 0.6688
48.3371 26.3636 0.6576
49.0787 26.3636 0.6457
49.8202 26.3636 0.6338
50.5618 26.3636 0.6225
51.3034 26.3636 0.6123
52.0449 26.3636 0.6036
52.7865 26.3636 0.5962
53.5281 26.3636 0.5903
54.2697 26.3636 0.5854
55.0112 26.3636 0.5815
55.7528 26.3636 0.5783
56.4944 26.3636 0.5755
57.2360 26.3636 0.5731
57.9775 26.3636 0.5708
58.7191 26.3636 0.5686
59.4607 26.3636 0.5663
60.2022 26.3636 0.5641
60.9438 26.3636 0.5620
61.6854 26.3636 0.5601
62.4270 26.3636 0.5585
63.1685 26.3636 0.5572
63.9101 26.3636 0.5562
64.6517 26.3636 0.5551
65.3933 26.3636 0.5534
66.1348 26.3636 0.5503
66.8764 26.3636 0.5449
67.6180 26.3636 0.5361
68.3596 26.3636 0.5229
69.1011 26.3636 0.5041
69.8427 26.3636 0.4787
70.5843 26.3636 0.4459
71.3258 26.3636 0.4050
72.0674 26.3636 0.3552
72.8090 26.3636 0.2964
73.5506 26.3636 0.2286
