x y
24.6067 26.4948
23.8652 26.5807

25.3483 26.4384
24.6067 26.4948

26.0899 26.4034
25.3483 26.4384

26.8315 26.3825
26.0899 26.4034

27.5730 26.3695
26.8315 26.3825

28.0172 26.3636
27.5730 26.3695

66.1767 26.3636
66.8764 26.4184

67.6180 26.5127
66.8764 26.4184

68.3596 26.6548
67.6180 26.5127

69.1011 26.8557
68.3596 26.6548

69.7479 27.0909
69.1011 26.8557

20.1573 27.8078
20.1409 27.8182

20.8989 27.4165
20.1573 27.8078

21.6404 27.0985
20.8989 27.4165

21.6629 27.0909
21.6404 27.0985

69.7479 27.0909
69.8427 27.1303

70.5843 27.5278
69.8427 27.1303

71.0200 27.8182
70.5843 27.5278

19.4157 28.3378
19.1675 28.5455

20.1409 27.8182
19.4157 28.3378

71.0200 27.8182
71.3258 28.0562

71.8456 28.5455
71.3258 28.0562

18.6742 29.0215
18.4466 29.2727

19.1675 28.5455
18.6742 29.0215

71.8456 28.5455
72.0674 28.7956

72.4256 29.2727
72.0674 28.7956

17.9326 29.9385
17.8904 30.0000

18.4466 29.2727
17.9326 29.9385

72.4256 29.2727
72.8090 29.9042

72.8593 30.0000
72.8090 29.9042

17.8904 30.0000
17.4727 30.7273

72.8593 30.0000
73.1543 30.7273

17.1910 31.3306
17.1390 31.4545

17.4727 30.7273
17.1910 31.3306

73.1543 30.7273
73.3686 31.4545

17.1390 31.4545
16.8989 32.1818

73.3686 31.4545
73.5079 32.1818

16.8989 32.1818
16.7212 32.9091

73.5079 32.1818
73.5506 32.6153

73.5762 32.9091
73.5506 32.6153

16.7212 32.9091
16.6016 33.6364

73.5762 32.9091
73.5867 33.6364

16.6016 33.6364
16.5367 34.3636

73.5867 33.6364
73.5513 34.3636

16.5367 34.3636
16.5230 35.0909

73.5506 34.3709
73.4686 35.0909

73.5513 34.3636
73.5506 34.3709

16.5230 35.0909
16.5575 35.8182

73.4686 35.0909
73.3504 35.8182

16.5575 35.8182
16.6373 36.5455

73.3504 35.8182
73.2036 36.5455

16.6373 36.5455
16.7593 37.2727

73.2036 36.5455
73.0333 37.2727

16.7593 37.2727
16.9208 38.0000

73.0333 37.2727
72.8427 38.0000

16.9208 38.0000
17.1191 38.7273

72.8090 38.1169
72.6129 38.7273

72.8427 38.0000
72.8090 38.1169

17.1191 38.7273
17.1910 38.9532

17.3702 39.4545
17.1910 38.9532

72.6129 38.7273
72.3568 39.4545

17.3702 39.4545
17.6654 40.1818

72.3568 39.4545
72.0742 40.1818

17.6654 40.1818
