x y
48.2496 10.6750
47.2849 13.4112
47.5850 10.2674

32.8504 8.8235
32.9199 8.8592
32.8105 8.8522
32.8504 8.8235

54.4103 5.8619
55.2072 6.1323
54.9034 9.4504
54.4103 5.8619

29.1263 7.2613
29.4344 5.5805
32.8104 8.7703
32.8105 8.8522
29.1263 7.2613

47.1069 1.5700
48.1441 3.5312
46.5328 2.7332
47.1069 1.5700

43.4370 9.0402
44.8174 8.4290
47.5850 10.2674
47.0314 10.6467
43.4370 9.0402

47.0314 10.6467
47.5850 10.2674
47.2849 13.4112
47.0314 10.6467

38.8310 3.0428
39.2624 1.5700
41.5543 4.5824
40.5272 5.5220
38.8310 3.0428

63.6013 3.5030
63.9587 4.3591
63.3093 4.7746
63.6013 3.5030

76.4670 1.5700
77.7621 3.9215
75.3599 3.2160
76.4670 1.5700

60.4303 2.8352
63.3093 4.7746
61.1457 5.6662
60.4303 2.8352

60.0093 7.3390
62.8405 7.1567
61.5477 8.8852
60.0093 7.3390

20.5188 8.5077
24.4157 8.2580
20.6890 12.9621
20.5188 8.5077

49.7058 1.5700
50.0458 2.1845
49.8422 5.2633
49.3340 4.3621
49.7058 1.5700

51.6214 9.2086
54.5759 10.3645
53.0484 10.6078
48.2496 10.6750
51.6214 9.2086
